"Story","Title","Result","Date","Stability","Duration (s)"
"Add stuff to the shopping cart test","Add a leather jacket to the cart","FAILURE","2019-05-21T15:23:12.734+05:30[Asia/Calcutta]","0.0","22.26"
"Search by keyword","Search for articles by keyword","FAILURE","2019-05-21T15:23:46.298+05:30[Asia/Calcutta]","0.0","12.51"
"Search by keyword","Search by shop name","FAILURE","2019-05-21T15:23:58.834+05:30[Asia/Calcutta]","0.0","47.33"
"Search by keyword","Search for many articles by keyword","FAILURE","2019-05-21T15:24:46.17+05:30[Asia/Calcutta]","0.0","44.34"
